date,death,totalTestResults
20200318,,179
20200318,,1713
20200318,,4128
20200318,,2762
20200318,0,266
20200318,0,0
20200318,,513
20200318,,509
20200318,0,1850
20200318,0,274
20200318,,230
20200318,,539
20200318,5,617
20200318,,2354
20200318,1,223
20200318,12,14597
20200318,,228
20200318,,407
20200318,3,1193
20200318,1,1320
20200318,,36
20200318,,573
20200318,1,643
20200318,1,562
20200318,,447
20200318,2,1907
20200318,0,194
20200318,1,1278
20200318,,2
20200318,,611
20200318,81,14505
20200318,,1683
20200318,0,123
20200318,,193
20200317,,337
20200317,0,64
20200317,,219
20200317,,
20200317,0,162
20200317,11,8464
20200317,1,1216
20200317,,166
20200317,,126
20200317,,52
20200317,6,1126
20200317,1,146
20200317,,46
20200317,,10
20200317,,106
20200317,,353
20200317,1,1499
20200317,2,159
20200317,1,397
20200317,1,317
20200317,4,457
20200317,,1759
20200317,,151
20200317,,1335
20200317,,3019
20200317,,2336
20200317,0,215
20200317,,0
20200317,,389
20200317,,311
20200317,0,514
20200317,0,223
20200317,,227
20200317,,372
20200317,3,430
20200317,,1272
20200317,1,223
20200317,7,7206
20200317,,207
20200317,,264
20200317,,736
20200317,,975
20200317,,18
20200317,,426
20200317,1,344
20200317,,562
20200317,,403
20200317,1,1268
20200317,0,182
20200317,1,1028
20200317,,2
20200317,,505
20200317,77,12800
20200317,,1110
20200317,0,80
20200317,,105
20200316,,144
20200316,0,56
20200316,,154
20200316,,
20200316,0,143
20200316,6,8316
20200316,1,758
20200316,,151
20200316,,113
20200316,,44
20200316,4,825
20200316,1,121
20200316,,26
20200316,,7
20200316,,105
20200316,,270
20200316,,1025
20200316,1,139
20200316,1,177
20200316,1,255
20200316,2,302
20200316,,516
20200316,,131
20200316,,781
20200316,,2205
20200316,,1893
20200316,0,170
20200316,,0
20200316,,289
20200316,,205
20200316,0,329
20200316,0,124
20200316,,188
20200316,,284
20200316,2,298
20200316,,583
20200316,1,213
20200316,7,5493
20200316,,190
20200316,,184
20200316,,618
20200316,,746
20200316,,14
20200316,,329
20200316,1,263
20200316,,504
20200316,,322
20200316,,57
20200316,0,170
20200316,1,489
20200316,,1
20200316,,429
20200316,68,10503
20200316,,551
20200316,0,80
20200316,,3
20200315,,144
20200315,0,40
20200315,,119
20200315,0,133
20200315,5,1209
20200315,1,758
20200315,,145
20200315,,95
20200315,,42
20200315,4,794
20200315,1,99
20200315,,2
20200315,,101
20200315,,179
20200315,,513
20200315,0,121
20200315,1,143
20200315,,155
20200315,2,247
20200315,,490
20200315,,125
20200315,,94
20200315,,1685
20200315,,1422
20200315,0,127
20200315,,94
20200315,,110
20200315,,259
20200315,0,96
20200315,,97
20200315,,284
20200315,2,218
20200315,,495
20200315,,189
20200315,3,5272
20200315,,175
20200315,,127
20200315,,456
20200315,,268
20200315,,291
20200315,,173
20200315,,336
20200315,,196
20200315,,56
20200315,0,159
20200315,1,408
20200315,,352
20200315,56,8046
20200315,,346
20200315,0,38
20200315,,3
20200314,,144
20200314,,28
20200314,,77
20200314,0,133
20200314,5,1168
20200314,1,711
20200314,,136
20200314,,59
20200314,,42
20200314,3,555
20200314,1,66
20200314,,2
20200314,,100
20200314,,176
20200314,,362
20200314,0,89
20200314,1,99
20200314,,153
20200314,,178
20200314,,490
20200314,,120
20200314,,94
20200314,,1401
20200314,,868
20200314,0,94
20200314,,90
20200314,,108
20200314,,160
20200314,0,55
20200314,,94
20200314,,219
20200314,1,147
20200314,,247
20200314,,188
20200314,,3303
20200314,,63
20200314,,40
20200314,,367
20200314,,252
20200314,,218
20200314,,123
20200314,,191
20200314,,162
20200314,,51
20200314,,137
20200314,,147
20200314,,231
20200314,51,6794
20200314,,188
20200314,,26
20200314,,2
20200313,,60
20200313,,12
20200313,,39
20200313,0,103
20200313,4,1118
20200313,,596
20200313,,105
20200313,,30
20200313,,34
20200313,2,528
20200313,1,42
20200313,,2
20200313,,99
20200313,,131
20200313,,326
20200313,,73
20200313,,99
20200313,,118
20200313,,73
20200313,,215
20200313,,111
20200313,,94
20200313,,1078
20200313,,555
20200313,,73
20200313,,45
20200313,,56
20200313,,101
20200313,0,40
20200313,,93
20200313,,100
20200313,1,147
20200313,,200
20200313,,179
20200313,,3200
20200313,,63
20200313,,39
20200313,,367
20200313,,181
20200313,,156
20200313,,87
20200313,,82
20200313,,142
20200313,,39
20200313,,137
20200313,,147
20200313,,144
20200313,47,5043
20200313,,188
20200313,,17
20200313,,1
20200312,,46
20200312,,10
20200312,,30
20200312,,91
20200312,4,1118
20200312,,343
20200312,,95
20200312,,30
20200312,,27
20200312,2,333
20200312,,31
20200312,,2
20200312,,81
20200312,,93
20200312,,291
20200312,,64
20200312,,45
20200312,,64
20200312,,51
20200312,,95
20200312,,106
20200312,,66
20200312,,793
20200312,,316
20200312,,65
20200312,,42
20200312,,35
20200312,,72
20200312,,13
20200312,,90
20200312,,100
20200312,1,104
20200312,,160
20200312,,175
20200312,,308
20200312,,35
20200312,,39
20200312,,305
20200312,,138
20200312,,99
20200312,,58
20200312,,35
20200312,,97
20200312,,23
20200312,,135
20200312,,134
20200312,,99
20200312,44,3580
20200312,,92
20200312,,7
20200312,,1
20200311,,46
20200311,,10
20200311,,12
20200311,,68
20200311,,1073
20200311,,279
20200311,,74
20200311,,25
20200311,,18
20200311,2,329
20200311,,22
20200311,,2
20200311,,59
20200311,,67
20200311,,263
20200311,,43
20200311,,42
20200311,,54
20200311,,43
20200311,,92
20200311,,103
20200311,,42
20200311,,554
20200311,,222
20200311,,1
20200311,,20
20200311,,21
20200311,,7
20200311,,7
20200311,,52
20200311,,42
20200311,1,81
20200311,,90
20200311,,173
20200311,,308
20200311,,25
20200311,,17
20200311,,305
20200311,,104
20200311,,99
20200311,,41
20200311,,18
20200311,,57
20200311,,21
20200311,,2
20200311,,69
20200311,,63
20200311,40,2649
20200311,,46
20200311,,3
20200311,,0
20200310,,23
20200310,,0
20200310,,12
20200310,,57
20200310,,823
20200310,,154
20200310,,56
20200310,,22
20200310,,17
20200310,,241
20200310,,17
20200310,,2
20200310,,40
20200310,,41
20200310,,263
20200310,,36
20200310,,18
20200310,,34
20200310,,12
20200310,,92
20200310,,95
20200310,,20
20200310,,397
20200310,,135
20200310,,1
20200310,,0
20200310,,15
20200310,,7
20200310,,6
20200310,,50
20200310,,42
20200310,,59
20200310,,69
20200310,,15
20200310,,265
20200310,,17
20200310,,17
20200310,,228
20200310,,12
20200310,,61
20200310,,31
20200310,,11
20200310,,7
20200310,,13
20200310,,2
20200310,,61
20200310,,41
20200310,37,1500
20200310,,38
20200310,,2
20200310,,0
20200309,,23
20200309,,0
20200309,,12
20200309,,49
20200309,,804
20200309,,142
20200309,,47
20200309,,15
20200309,,15
20200309,,158
20200309,,12
20200309,,2
20200309,,29
20200309,,41
20200309,,198
20200309,,2
20200309,,12
20200309,,21
20200309,,6
20200309,,41
20200309,,78
20200309,,1
20200309,,290
20200309,,82
20200309,,1
20200309,,0
20200309,,11
20200309,,2
20200309,,0
20200309,,39
20200309,,42
20200309,,46
20200309,,57
20200309,,15
20200309,,234
20200309,,14
20200309,,9
20200309,,179
20200309,,10
20200309,,33
20200309,,31
20200309,,5
20200309,,3
20200309,,12
20200309,,1
20200309,,41
20200309,,35
20200309,35,1453
20200309,,37
20200309,,2
20200309,,0
20200308,,14
20200308,,0
20200308,,6
20200308,,49
20200308,,550
20200308,,112
20200308,,30
20200308,,11
20200308,,10
20200308,,135
20200308,,7
20200308,,1
20200308,,15
20200308,,27
20200308,,197
20200308,,2
20200308,,12
20200308,,14
20200308,,5
20200308,,13
20200308,,55
20200308,,1
20200308,,194
20200308,,49
20200308,,1
20200308,,0
20200308,,11
20200308,,2
20200308,,0
20200308,,18
20200308,,42
20200308,,37
20200308,,48
20200308,,15
20200308,,197
20200308,,10
20200308,,9
20200308,,114
20200308,,6
20200308,,33
20200308,,10
20200308,,5
20200308,,3
20200308,,8
20200308,,1
20200308,,38
20200308,,29
20200308,31,886
20200308,,32
20200308,,2
20200308,,0
20200307,,12
20200307,,0
20200307,,6
20200307,,49
20200307,,531
20200307,,63
20200307,,0
20200307,,8
20200307,,10
20200307,,114
20200307,,6
20200307,,1
20200307,,15
20200307,,27
20200307,,197
20200307,,1
20200307,,11
20200307,,10
20200307,,0
20200307,,13
20200307,,44
20200307,,1
20200307,,146
20200307,,49
20200307,,0
20200307,,0
20200307,,11
20200307,,2
20200307,,0
20200307,,18
20200307,,22
20200307,,4
20200307,,48
20200307,,15
20200307,,168
20200307,,9
20200307,,1
20200307,,84
20200307,,4
20200307,,32
20200307,,10
20200307,,5
20200307,,1
20200307,,8
20200307,,1
20200307,,31
20200307,,16
20200307,27,551
20200307,,32
20200307,,2
20200307,,0
20200306,,8
20200306,,6
20200306,,36
20200306,,522
20200306,,48
20200306,,8
20200306,,10
20200306,,64
20200306,,2
20200306,,15
20200306,,185
20200306,,1
20200306,,4
20200306,,7
20200306,,8
20200306,,29
20200306,,106
20200306,,36
20200306,,2
20200306,,17
20200306,,22
20200306,,1
20200306,,16
20200306,,15
20200306,,125
20200306,,8
20200306,,67
20200306,,2
20200306,,20
20200306,,5
20200306,,1
20200306,,5
20200306,,21
20200306,,8
20200306,26,519
20200306,,32
20200306,,1
20200305,,30
20200305,,515
20200305,,19
20200305,,6
20200305,,40
20200305,,2
20200305,,170
20200305,,2
20200305,,17
20200305,,80
20200305,,1
20200305,,17
20200305,,18
20200305,,1
20200305,,15
20200305,,98
20200305,,7
20200305,,48
20200305,,19
20200305,,5
20200305,,1
20200305,,1
20200305,,18
20200305,20,96
20200305,,20
20200304,,29
20200304,,515
20200304,,26
20200304,,2
20200304,,128
20200304,,2
20200304,,52
20200304,,1
20200304,,12
20200304,,54
20200304,,32
20200304,,13
20200304,,5
20200304,,1
20200304,16,76
20200304,,20
20200303,,34
20200303,,8
20200303,14,58
20200302,,18
20200302,,1
20200302,11,34
20200301,,9
20200301,,1
20200301,8,30
20200229,5,18
20200228,4,9
