date,death,totalTestResults
20200409,73,21801
20200409,702,86919
20200409,503,94958
20200409,138,41529
20200409,16,6648
20200409,1076,67054
20200409,50,32294
20200409,77,38494
20200409,2,38
20200409,76,20892
20200409,6,7860
20200409,65,47809
20200409,5,8990
20200409,14,8683
20200409,18,9551
20200409,1700,107192
20200409,16,23807
20200409,80,21771
20200409,7067,391549
20200409,213,55985
20200409,80,20279
20200409,44,25627
20200409,338,105602
20200409,33,5386
20200409,43,12409
20200409,67,27367
20200409,6,7147
20200409,94,59849
20200409,199,106134
20200409,13,38373
20200409,109,33026
20200409,1,297
20200409,23,8181
20200409,446,93160
20200409,111,34309
20200409,5,13863
20200409,0,4150
20200408,7,7068
20200408,66,19122
20200408,18,14530
20200408,0,3
20200408,80,34564
20200408,442,144264
20200408,179,28094
20200408,277,29036
20200408,27,8283
20200408,16,8556
20200408,309,143134
20200408,362,38787
20200408,4,687
20200408,5,15149
20200408,27,13966
20200408,15,11898
20200408,462,75066
20200408,203,30869
20200408,27,9514
20200408,65,21604
20200408,652,81406
20200408,433,87511
20200408,124,38462
20200408,14,6625
20200408,959,66139
20200408,39,30753
20200408,58,34110
20200408,2,38
20200408,67,20635
20200408,6,7398
20200408,53,42987
20200408,4,8552
20200408,12,7961
20200408,18,9177
20200408,1504,100416
20200408,13,22245
20200408,71,20566
20200408,6268,365153
20200408,193,53341
20200408,79,13345
20200408,33,24564
20200408,309,98538
20200408,24,4886
20200408,35,12132
20200408,63,24634
20200408,6,6748
20200408,79,56618
20200408,177,96258
20200408,13,36116
20200408,75,30645
20200408,1,287
20200408,23,7749
20200408,446,92897
20200408,99,32871
20200408,4,12545
20200408,0,4064
20200407,6,6913
20200407,56,14916
20200407,16,13638
20200407,0,3
20200407,73,33375
20200407,374,131229
20200407,150,26875
20200407,277,29036
20200407,22,7823
20200407,16,8556
20200407,296,138162
20200407,329,33713
20200407,4,650
20200407,5,13542
20200407,26,12718
20200407,13,11246
20200407,380,68732
20200407,173,28764
20200407,27,9514
20200407,59,19955
20200407,582,74655
20200407,356,81344
20200407,103,31627
20200407,12,6607
20200407,845,65373
20200407,34,29260
20200407,53,31969
20200407,2,23
20200407,59,20547
20200407,6,6985
20200407,46,41082
20200407,4,7703
20200407,10,7258
20200407,9,8734
20200407,1232,94974
20200407,12,21825
20200407,58,18639
20200407,5489,340058
20200407,167,50838
20200407,67,13293
20200407,33,23007
20200407,240,91278
20200407,23,4539
20200407,30,10307
20200407,51,23680
20200407,6,6268
20200407,72,52874
20200407,154,88649
20200407,13,34647
20200407,63,28645
20200407,1,265
20200407,23,7129
20200407,393,92434
20200407,92,31090
20200407,4,12059
20200407,0,4005
20200406,6,6883
20200406,50,14765
20200406,16,12845
20200406,0,3
20200406,65,32534
20200406,343,117431
20200406,140,25773
20200406,206,26686
20200406,24,7453
20200406,14,6994
20200406,236,123274
20200406,229,31274
20200406,4,618
20200406,4,13526
20200406,25,11599
20200406,10,10995
20200406,307,62942
20200406,139,26191
20200406,25,9084
20200406,45,18767
20200406,512,69166
20200406,260,76429
20200406,91,29617
20200406,10,6587
20200406,727,61970
20200406,30,28128
20200406,39,29835
20200406,1,21
20200406,51,20370
20200406,6,6790
20200406,33,40726
20200406,3,7213
20200406,8,6787
20200406,9,8370
20200406,1003,89032
20200406,12,19136
20200406,46,17629
20200406,4758,320811
20200406,142,48378
20200406,51,2749
20200406,27,21801
20200406,162,83854
20200406,21,3945
20200406,27,8481
20200406,44,18976
20200406,4,6020
20200406,65,47350
20200406,140,85357
20200406,13,33394
20200406,54,24521
20200406,1,265
20200406,23,6633
20200406,378,92070
20200406,77,29014
20200406,4,9940
20200406,0,3929
20200405,6,6284
20200405,45,13078
20200405,16,11242
20200405,0,3
20200405,64,27410
20200405,319,116533
20200405,126,23900
20200405,189,23270
20200405,22,6834
20200405,14,6994
20200405,218,113404
20200405,211,27832
20200405,4,605
20200405,4,12955
20200405,22,10841
20200405,10,10261
20200405,274,58983
20200405,127,22652
20200405,22,8223
20200405,40,16663
20200405,477,60325
20200405,231,71937
20200405,67,28337
20200405,10,6558
20200405,617,57898
20200405,29,26777
20200405,34,27249
20200405,1,21
20200405,43,7218
20200405,6,6603
20200405,31,40045
20200405,3,6787
20200405,8,5921
20200405,9,8032
20200405,917,82166
20200405,11,16828
20200405,46,16831
20200405,4159,302280
20200405,119,43756
20200405,46,2653
20200405,27,20624
20200405,150,77771
20200405,20,3548
20200405,25,7181
20200405,44,18976
20200405,2,5593
20200405,44,45300
20200405,127,70938
20200405,8,30892
20200405,51,23671
20200405,1,248
20200405,22,6582
20200405,365,88659
