posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
7732,1,3,289,11,300
21249,11,34,0,223,223
18578,1,0,1403,55,1458
3,0,0,0,0,0
40530,11,0,2515,281,2796
172076,0,0,7213,0,7213
32653,0,0,0,0,0
39831,46,0,2571,972,3543
10039,9,0,566,118,684
11103,10,0,-791,153,-638
172933,48,174,9140,963,10103
51715,12,128,4892,676,5568
826,1,0,31,3,34
17531,2,1,1359,23,1382
17132,3,0,1057,122,1179
13764,1,1,627,43,670
92149,81,0,3329,1293,4622
39215,30,0,3647,528,4175
12343,5,19,827,102,929
24288,0,0,0,0,0
96915,51,0,3874,761,4635
108776,87,164,4518,1886,6404
47238,35,296,2064,726,2790
6704,2,3,0,30,30
76014,111,0,2760,1210,3970
35404,7,23,1419,91,1510
43172,13,0,2207,225,2432
38,0,0,0,0,0
21274,11,46,0,173,173
8581,0,5,272,12,284
60393,6,0,2344,404,2748
10080,1,0,457,15,472
9985,2,0,566,65,631
10493,1,10,469,66,535
120193,251,0,3107,3563,6670
27098,0,0,0,0,0
23587,16,0,722,116,838
440980,783,1861,13149,9946,23095
60408,16,104,1526,351,1877
22658,6,18,420,74,494
27224,4,12,1547,50,1597
120153,78,0,5458,1676,7134
6371,3,0,462,63,525
18207,7,0,3577,334,3911
30093,8,0,1768,142,1910
8004,0,4,267,90,357
66828,3,20,3777,252,4029
120533,28,0,3925,890,4815
42546,1,7,1680,104,1784
37999,9,0,1972,568,2540
350,0,0,26,1,27
9258,1,0,994,32,1026
93615,45,0,0,0,0
37893,9,46,1455,145,1600
15452,0,0,874,23,897
5459,0,0,462,-59,403
7432,0,1,198,11,209
21026,6,35,0,199,199
17120,2,0,2117,52,2169
3,0,0,0,0,0
37734,8,0,462,94,556
164863,49,0,200,1163,1363
32653,57,150,2599,855,3454
36288,68,0,2032,754,2786
9355,6,0,494,137,631
11741,0,0,1732,119,1851
162830,36,219,9114,1167,10281
46147,37,192,4145,917,5062
792,0,0,69,2,71
16149,1,0,391,7,398
15953,2,0,862,118,980
13094,6,14,442,121,563
87527,68,0,5205,1465,6670
35040,55,0,2351,556,2907
11414,8,11,579,60,639
24288,17,459,2140,347,2487
92280,53,0,4391,970,5361
102372,96,209,5381,2033,7414
44448,33,65,2136,783,2919
6674,1,6,0,26,26
72044,205,0,3711,1279,4990
33894,7,24,1506,94,1600
40740,19,0,1986,260,2246
38,0,0,0,0,0
21101,6,41,0,209,209
8297,0,5,426,11,437
57645,9,0,9579,257,9836
9608,1,2,609,9,618
9354,1,0,603,68,671
9958,3,6,376,31,407
113523,232,0,2770,3561,6331
27098,3,0,3065,226,3291
22749,6,0,850,128,978
417885,777,2242,15761,10575,26336
58531,18,143,2222,324,2546
22164,8,13,1775,110,1885
25627,0,0,0,0,0
