posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
3647,2,0,0,42,42
25686,40,0,1493,723,2216
17657,4,18,1466,62,1528
12385,0,0,1465,0,1465
2,0,0,0,0,0
3318,1,16,0,95,95
4297,0,1,887,25,912
18945,0,0,1313,105,1418
3453,0,1,546,15,561
2076,0,0,64,12,76
4738,0,3,868,27,895
35602,21,0,2830,2262,5092
11006,1,0,1573,46,1619
9150,4,0,511,117,628
172360,237,2021,9231,7195,16426
20665,4,59,0,247,247
1634,1,14,25,52,77
11426,0,12,1185,69,1254
33455,4,37,4807,643,5450
968,2,0,102,27,129
3134,3,0,299,55,354
3789,3,0,607,235,842
3217,0,0,535,22,557
20574,1,15,2072,164,2236
25760,7,0,0,500,500
13993,0,0,2564,117,2681
10609,5,13,1292,151,1443
146,0,0,17,1,18
3701,0,0,1303,24,1327
59998,17,0,5881,395,6276
17662,0,0,1318,123,1441
2818,0,0,374,17,391
1640,0,1,79,4,83
2921,1,2,517,16,533
4880,0,0,0,109,109
3342,2,0,1393,23,1416
0,0,0,0,0,0
8328,2,0,0,137,137
25192,23,0,3169,764,3933
11676,7,55,1250,304,1554
8400,0,0,0,0,0
2515,1,0,314,37,351
250,1,0,0,51,51
39129,20,70,7180,998,8178
11051,5,51,821,365,1186
354,0,0,0,4,4
4477,0,1,0,14,14
4673,0,11,635,63,698
3572,1,25,674,41,715
25491,13,0,3484,465,3949
8407,7,0,1220,251,1471
3932,1,0,442,59,501
5123,2,0,1053,54,1107
25161,18,0,3233,569,3802
35049,9,131,4661,1017,5678
12508,0,53,11422,218,11640
3605,0,0,0,43,43
23470,0,0,1544,628,2172
16129,1,6,2083,43,2126
10920,2,0,9713,169,9882
2,0,0,0,2,2
3223,5,34,0,84,84
3385,1,0,666,21,687
17527,1,0,2219,172,2391
2892,1,3,382,18,400
2000,2,0,143,11,154
3843,1,5,261,29,290
30510,32,0,2839,2299,5138
9387,0,0,819,55,874
8522,0,0,1740,86,1826
155934,209,1528,2498,7683,10181
20418,6,68,0,269,269
1557,7,21,96,55,151
10172,1,15,1183,65,1248
28005,12,75,4238,533,4771
839,0,0,220,21,241
2780,0,0,235,36,271
2947,4,20,101,83,184
2660,0,0,205,10,215
18338,0,15,2077,170,2247
25260,4,0,1273,321,1594
11312,0,0,1946,122,2068
9166,3,16,1694,135,1829
128,0,0,51,3,54
2374,2,0,86,27,113
53722,20,0,5842,469,6311
16221,0,0,2092,147,2239
2427,0,0,552,20,572
1557,0,3,264,12,276
2388,0,0,518,10,528
4771,2,0,591,81,672
1926,0,0,41,46,87
0,0,0,0,0,0
8191,5,0,7108,159,7267
21259,13,0,0,873,873
10122,5,36,1714,344,2058
8400,6,0,1484,279,1763
2164,0,0,271,36,307
199,1,0,0,33,33
30951,6,50,4445,410,4855
9865,16,93,463,476,939
350,0,0,36,6,42
4463,0,2,0,11,11
3975,2,4,1162,56,1218
2857,3,0,603,66,669
21542,8,0,4423,488,4911
6936,7,0,1949,336,2285
3431,1,27,360,34,394
4016,2,0,666,50,716
21359,36,0,2889,441,3330
29371,10,0,4927,823,5750
868,1,41,0,194,194
3562,1,0,0,13,13
21298,32,0,2334,892,3226
14003,2,10,1001,52,1053
1038,0,0,0,167,167
0,0,0,0,0,0
3139,2,35,269,94,363
2698,0,6,462,37,499
15136,1,0,2099,127,2226
2492,0,3,388,13,401
1846,0,0,177,12,189
3553,0,6,394,21,415
25372,27,0,2886,1949,4835
8513,0,0,696,24,720
6696,0,0,1464,115,1579
145753,134,1682,16272,7377,23649
20149,4,53,2563,270,2833
1406,1,19,126,74,200
8924,1,12,1557,87,1644
23234,6,241,4575,531,5106
598,1,0,142,15,157
2509,0,0,1044,38,1082
2763,0,0,0,0,0
2445,0,0,414,12,426
16091,3,27,936,246,1182
23666,5,0,1907,335,2242
9244,1,0,1456,78,1534
7337,1,18,1004,144,1148
74,0,0,0,2,2
2261,1,18,227,26,253
47411,14,0,11461,493,11954
13982,5,0,1557,135,1692
1855,0,0,748,25,773
1281,0,11,159,17,176
1860,0,2,152,17,169
4099,1,0,1064,223,1287
1839,1,0,67,55,122
0,0,0,0,0,0
924,2,0,24,127,151
20386,12,0,1459,651,2110
8064,8,64,189,174,363
6637,2,0,602,137,739
1857,1,0,203,48,251
166,1,0,0,15,15
26096,6,90,8367,673,9040
8926,8,79,2469,278,2747
308,0,0,30,8,38
4452,0,-1,0,5,5
2757,0,10,0,34,34
2188,0,0,178,50,228
16631,7,0,1749,673,2422
4651,3,0,1127,168,1295
3037,0,0,509,42,551
3300,0,0,237,41,278
18029,18,0,6068,510,6578
23621,10,116,3248,579,3827
674,0,132,0,157,157
3549,0,0,217,6,223
18072,17,0,2768,707,3475
12950,1,6,1416,59,1475
871,0,0,0,146,146
0,0,0,0,0,0
2776,4,33,725,108,833
2199,0,1,180,18,198
12910,1,0,2289,132,2421
2091,0,2,305,13,318
1657,0,0,280,12,292
3138,0,6,645,29,674
20537,19,0,3209,2474,5683
7793,0,0,939,12,951
5117,4,0,446,99,545
122104,100,3039,12178,6447,18625
17316,5,41,2389,163,2552
1206,2,27,153,84,237
7280,3,29,2603,118,2721
18128,5,0,5248,560,5808
441,0,0,60,13,73
1427,0,0,0,33,33
2763,2,7,4,32,36
2019,0,0,1154,5,1159
14909,0,23,2940,173,3113
21424,6,0,7508,422,7930
7710,0,0,817,56,873
6189,4,6,750,69,819
72,0,0,0,0,0
2008,1,0,261,35,296
35457,22,0,0,470,470
12290,1,0,1494,122,1616
1082,0,0,272,12,284
1105,0,0,98,9,107
1691,1,1,663,6,669
2812,0,0,423,68,491
1717,2,0,490,62,552
0,0,0,0,0,0
773,1,0,10,93,103
18276,13,0,2469,253,2722
7701,4,12,1285,192,1477
5898,7,0,341,257,598
1606,0,0,228,46,274
151,0,0,0,24,24
17056,4,57,2247,270,2517
6179,8,394,474,221,695
270,0,0,32,5,37
4447,0,2,768,13,781
2723,1,9,263,21,284
1960,0,0,0,23,23
14209,3,0,2410,330,2740
3356,2,0,313,112,425
2486,1,0,274,28,302
3022,0,0,1103,33,1136
11451,19,0,2441,407,2848
19794,4,9,5366,679,6045
517,1,0,0,74,74
3326,0,0,163,24,187
14597,19,0,1741,619,2360
11475,0,14,5638,25,5663
725,5,0,0,173,173
0,0,0,0,0,0
1943,1,31,14,57,71
2001,0,0,305,7,312
10489,1,0,1844,106,1950
1773,0,3,280,5,285
1365,0,0,329,9,338
2464,0,2,909,7,916
14854,18,0,2127,727,2854
6842,1,0,852,17,869
4572,2,0,297,43,340
103479,75,571,7063,5146,12209
14764,2,37,13920,140,14060
969,2,34,70,58,128
4559,0,0,0,0,0
12320,4,0,2550,276,2826
368,0,0,49,12,61
1394,0,0,62,8,70
2727,2,102,291,126,417
860,0,0,29,11,40
11796,1,53,495,117,612
13494,3,0,1763,564,2327
6837,0,0,967,47,1014
5370,2,14,799,101,900
72,0,0,55,0,55
1712,1,0,149,28,177
34987,13,0,0,452,452
10674,2,0,1852,128,1980
798,0,0,149,19,168
998,0,0,244,15,259
1022,0,0,40,14,54
2321,0,0,441,48,489
1165,0,0,41,44,85
0,0,0,0,0,0
670,3,0,4,92,96
15554,13,0,885,369,1254
6224,1,14,659,129,788
5300,2,0,597,203,800
1332,0,0,82,21,103
127,0,0,0,23,23
14539,4,42,2064,241,2305
5484,7,0,161,254,415
233,0,0,40,3,43
3666,0,4,634,21,655
2439,0,27,272,19,291
1937,0,0,578,3,581
11469,4,0,1351,262,1613
2931,5,0,865,106,971
2184,0,0,1669,16,1685
1886,1,0,0,20,20
8603,12,0,2439,216,2655
13749,2,15,4445,382,4827
443,0,0,0,61,61
3139,0,0,223,18,241
12237,9,0,1099,652,1751
5812,0,4,1039,27,1066
552,0,0,0,0,0
0,0,0,0,0,0
1872,0,53,409,71,480
1689,0,0,497,12,509
8539,0,0,0,101,101
1488,0,1,101,4,105
1027,0,0,619,2,621
1548,1,11,73,23,96
12000,17,0,7966,831,8797
5973,0,0,569,18,587
4232,0,0,464,33,497
91270,96,599,8191,4790,12981
704,2,41,0,122,122
841,1,10,41,25,66
4559,3,5,701,18,719
9494,1,0,2048,207,2255
307,0,0,79,8,87
1324,0,0,57,18,75
2310,0,0,546,0,546
820,0,0,28,2,30
11184,0,0,7245,52,7297
11167,1,0,1054,58,1112
5823,0,0,734,42,776
4470,1,7,737,36,773
17,0,0,0,0,0
1535,2,0,334,20,354
34535,9,0,2833,373,3206
8694,0,0,1187,41,1228
630,0,0,166,4,170
739,0,0,118,3,121
968,0,0,0,0,0
1832,0,0,201,29,230
1080,0,0,195,9,204
0,0,0,0,0,0
574,0,0,27,113,140
14300,0,0,1263,197,1460
5436,1,9,770,116,886
4500,5,0,1208,192,1400
1229,1,0,156,18,174
104,0,0,0,12,12
12234,1,32,3073,341,3414
5069,2,0,877,172,1049
190,0,0,35,2,37
3011,0,0,2692,8,2700
2148,0,0,828,15,843
1356,0,0,134,5,139
9856,3,0,1312,224,1536
1960,1,0,408,58,466
499,0,0,0,18,18
1866,0,0,290,5,295
5948,14,0,2115,335,2450
8922,4,8,2686,131,2817
382,0,0,0,44,44
2898,0,0,527,18,545
10486,7,0,985,691,1676
4746,0,5,0,66,66
552,0,0,0,93,93
0,0,0,0,0,0
1392,0,0,29,42,71
1180,0,0,0,3,3
8438,0,0,1958,42,2000
1383,0,1,93,2,95
406,0,0,0,2,2
1452,0,0,186,13,199
3203,7,0,32,930,962
5386,0,0,599,8,607
3735,2,0,1042,55,1097
78289,0,661,11181,5707,16888
582,3,21,0,91,91
775,0,4,25,14,39
3840,1,13,785,30,815
7239,4,0,1631,165,1796
220,2,0,6,8,14
1249,0,0,211,23,234
1764,2,0,0,103,103
790,0,0,22,7,29
3887,2,0,0,110,110
10055,3,0,1281,18,1299
5047,0,0,1282,76,1358
3697,3,6,325,35,360
17,0,0,0,11,11
1181,3,0,0,23,23
31329,11,0,3551,208,3759
7466,1,0,820,31,851
460,0,0,59,4,63
618,0,0,154,2,156
968,0,0,188,8,196
1602,0,0,1436,14,1450
876,0,0,144,47,191
0,0,0,0,0,0
434,1,0,42,48,90
12840,3,0,55,257,312
4550,1,5,758,112,870
3100,1,0,771,29,800
1055,0,0,451,21,472
92,0,0,0,11,11
8820,1,27,1411,172,1583
4020,9,0,863,93,956
153,1,0,18,12,30
311,0,0,139,11,150
1305,0,0,166,22,188
1217,0,0,295,11,306
8320,3,0,1783,296,2079
1494,2,0,586,75,661
481,0,0,0,9,9
1571,1,0,758,45,803
3498,4,0,481,252,733
6105,4,10,707,121,828
338,1,0,0,54,54
2353,0,0,0,16,16
8810,3,0,16,555,571
4680,0,12,559,31,590
459,0,0,0,17,17
0,0,0,0,0,0
1321,0,33,419,67,486
1177,0,0,0,11,11
6438,0,0,1091,71,1162
1288,0,0,119,0,119
404,0,0,0,10,10
1253,0,0,215,10,225
2241,4,0,33,587,620
4779,0,0,951,0,951
2638,0,0,64,66,130
61401,70,371,11152,4812,15964
491,0,25,0,104,104
736,1,1,109,14,123
3025,1,43,861,47,908
5443,0,0,1198,108,1306
206,0,0,40,2,42
1015,0,0,70,17,87
1661,2,0,211,43,254
761,0,0,49,7,56
3777,0,0,0,134,134
8756,0,0,2204,30,2234
3689,1,0,1084,45,1129
3337,1,7,480,67,547
6,0,0,0,0,0
1158,0,0,327,23,350
27570,14,0,3609,236,3845
6615,0,0,1602,104,1706
397,0,0,55,1,56
462,0,0,0,1,1
772,0,0,72,2,74
152,0,0,0,43,43
685,0,0,216,22,238
0,0,0,0,0,0
344,1,0,29,39,68
12528,4,0,825,216,1041
3680,1,44,642,86,728
2300,1,0,1502,0,1502
583,0,0,5,6,11
81,0,0,0,7,7
7237,2,158,4709,138,4847
3064,1,0,591,87,678
123,0,0,22,1,23
161,0,0,0,11,11
1117,0,0,407,23,430
911,0,0,290,8,298
6241,1,0,1792,168,1960
833,2,1,232,47,279
472,1,0,0,11,11
768,1,0,122,7,129
2765,4,0,1612,106,1718
5277,0,61,1074,112,1186
284,1,0,0,41,41
2337,0,0,0,16,16
8239,2,0,950,516,1466
4090,1,0,211,23,234
442,2,0,0,26,26
0,0,0,0,0,0
835,0,0,0,60,60
1166,0,0,215,4,219
5276,0,0,1996,47,2043
1169,0,3,341,8,349
394,0,0,116,6,122
1028,0,0,228,11,239
1621,5,0,30,437,467
3828,0,0,0,14,14
2508,1,0,392,15,407
45437,9,1603,9756,3254,13010
387,2,58,0,78,78
613,0,10,22,4,26
2117,0,0,0,0,0
4137,1,0,1192,103,1295
164,0,0,29,7,36
928,0,0,62,12,74
1407,0,0,422,71,493
705,0,0,28,0,28
3643,0,0,2709,143,2852
6522,0,0,1135,110,1245
2560,0,0,389,24,413
2790,0,25,427,38,465
6,0,0,0,3,3
808,0,0,0,0,0
23725,6,0,2383,233,2616
4909,1,0,1173,75,1248
341,0,1,111,4,115
461,0,0,107,4,111
698,0,0,254,6,260
109,0,0,0,13,13
447,0,0,41,50,91
0,0,0,0,0,0
276,0,0,36,21,57
11487,2,0,1637,139,1776
2952,1,0,563,61,624
798,2,0,0,98,98
572,1,0,348,32,380
74,0,0,0,8,8
2390,2,0,337,130,467
2386,3,0,422,133,555
100,0,0,17,2,19
150,0,0,31,10,41
687,0,0,559,7,566
613,0,0,131,12,143
4281,1,0,971,163,1134
554,0,0,151,23,174
461,0,0,0,10,10
639,0,0,138,12,150
1047,4,0,110,132,242
4091,1,0,874,85,959
243,0,0,0,42,42
2321,0,0,260,4,264
6773,0,0,961,635,1596
3856,0,0,792,26,818
416,0,0,61,23,84
0,0,0,0,0,0
775,1,0,143,30,173
947,0,0,170,4,174
3233,0,0,688,40,728
820,0,0,307,5,312
272,0,0,0,5,5
789,0,0,124,5,129
1154,2,0,54,148,202
3814,0,0,1009,8,1017
2101,0,0,366,14,380
32427,23,0,7193,2950,10143
309,1,0,0,50,50
587,0,0,72,5,77
2117,0,0,674,26,700
2842,0,0,966,83,1049
128,0,0,58,9,67
854,0,0,146,10,156
914,0,0,250,21,271
677,0,0,112,3,115
791,0,0,214,74,288
5277,2,0,2871,51,2922
2147,0,0,587,34,621
2325,0,0,382,20,402
3,0,0,0,0,0
808,2,0,134,7,141
21109,11,0,3418,238,3656
3661,3,0,1263,51,1314
226,0,0,76,5,81
350,0,0,60,1,61
438,0,0,26,0,26
96,0,0,0,22,22
356,0,0,74,13,87
0,0,0,0,0,0
219,0,0,27,16,43
9711,5,0,806,313,1119
2328,0,0,495,33,528
700,1,0,479,28,507
192,0,0,15,8,23
66,0,0,0,5,5
1923,1,0,308,76,384
1831,9,0,233,90,323
81,0,0,12,4,16
109,0,0,0,2,2
121,0,0,0,9,9
470,0,0,0,2,2
3147,3,0,962,134,1096
380,0,0,170,17,187
451,0,0,0,18,18
489,0,0,100,9,109
805,2,0,123,107,230
3132,0,0,789,72,861
201,1,0,0,22,22
2057,0,0,334,10,344
5177,3,0,570,479,1049
3038,0,0,264,12,276
332,1,0,55,11,66
0,0,0,0,0,0
602,0,0,73,16,89
773,0,0,262,2,264
2505,0,0,621,34,655
508,0,0,225,9,234
267,0,0,34,3,37
660,0,0,108,13,121
952,4,0,20,315,335
2797,0,0,436,7,443
1721,0,0,1458,40,1498
22284,0,0,5917,1770,7687
259,0,0,0,31,31
510,1,0,88,15,103
1417,0,0,211,13,224
1793,0,0,421,52,473
61,0,0,25,0,25
698,0,0,114,11,125
643,0,0,0,0,0
562,0,0,0,0,0
503,0,0,0,56,56
2355,1,0,388,60,448
1526,0,0,1317,15,1332
1923,1,0,628,17,645
3,0,0,0,1,1
667,0,0,53,3,56
17453,10,0,2801,147,2948
2347,0,0,615,49,664
145,0,0,21,1,22
289,0,0,93,3,96
412,0,0,72,3,75
74,0,0,0,10,10
269,0,0,39,11,50
0,0,0,0,0,0
176,0,0,6,8,14
8592,2,0,0,128,128
1800,1,0,561,23,584
193,0,0,0,27,27
169,0,0,34,9,43
61,0,0,0,9,9
1539,1,0,285,128,413
1508,0,0,1311,51,1362
65,0,0,16,3,19
107,0,0,93,4,97
112,0,0,0,6,6
468,0,0,113,2,115
2051,0,0,423,129,552
193,0,0,25,9,34
433,0,0,35,1,36
380,0,0,59,4,63
575,2,0,49,69,118
2271,0,0,474,38,512
179,0,0,0,28,28
1713,0,0,367,11,378
4128,0,0,589,520,1109
2762,0,0,409,17,426
266,0,0,46,5,51
0,0,0,0,0,0
513,0,0,111,13,124
509,0,0,196,2,198
1850,0,0,1313,23,1336
274,0,0,48,3,51
230,0,0,0,3,3
539,0,0,158,9,167
617,2,0,27,160,187
2354,0,0,1077,5,1082
223,0,0,0,0,0
14597,5,0,6709,682,7391
228,0,0,0,21,21
407,0,0,131,12,143
1193,3,0,429,28,457
1320,1,0,308,37,345
36,0,0,18,0,18
573,0,0,137,10,147
643,0,0,272,27,299
562,1,0,0,0,0
447,0,0,19,25,44
1907,1,0,620,19,639
194,0,0,0,12,12
1278,0,0,240,10,250
2,0,0,0,0,0
611,0,0,97,9,106
14505,4,0,1535,170,1705
1683,0,0,539,34,573
123,0,0,42,1,43
193,0,0,83,5,88
337,0,0,191,2,193
64,0,0,0,8,8
219,0,0,65,0,65
0,0,0,0,0,0
162,0,0,17,2,19
8464,5,0,0,148,148
1216,0,0,429,29,458
166,0,0,0,15,15
126,0,0,8,5,13
52,0,0,0,8,8
1126,2,0,256,45,301
146,0,0,0,25,25
46,0,0,18,2,20
10,0,0,0,3,3
106,0,0,0,1,1
353,0,0,81,2,83
1499,1,0,408,66,474
159,1,0,14,6,20
397,0,0,216,4,220
317,0,0,61,1,62
457,2,0,98,57,155
1759,0,0,1189,54,1243
151,0,0,0,20,20
1335,0,0,539,15,554
3019,0,0,354,460,814
2336,0,0,437,6,443
215,0,0,43,2,45
0,0,0,0,0,0
389,0,0,91,9,100
311,0,0,105,1,106
514,0,0,178,7,185
223,0,0,97,2,99
227,0,0,36,3,39
372,0,0,84,4,88
430,1,0,43,89,132
1272,0,0,683,6,689
223,0,0,0,10,10
7206,0,0,963,750,1713
207,0,0,0,17,17
264,0,0,73,7,80
736,0,0,110,8,118
975,0,0,209,20,229
18,0,0,4,0,4
426,0,0,95,2,97
344,0,0,76,5,81
562,0,0,57,1,58
403,0,0,60,21,81
1268,1,0,1204,7,1211
182,0,0,0,12,12
1028,0,0,523,16,539
2,0,0,0,1,1
505,0,0,74,2,76
12800,9,0,2131,166,2297
1110,0,0,534,25,559
80,0,0,0,0,0
105,0,0,95,7,102
144,0,0,0,0,0
56,0,0,0,16,16
154,0,0,29,6,35
0,0,0,0,0,0
143,0,0,4,6,10
8316,1,0,7065,42,7107
758,0,0,0,0,0
151,0,0,0,6,6
113,0,0,17,1,18
44,0,0,0,2,2
825,0,0,6,25,31
121,0,0,0,22,22
26,0,0,0,0,0
7,0,0,0,5,5
105,0,0,0,4,4
270,0,0,91,0,91
1025,0,0,483,29,512
139,1,0,13,5,18
177,0,0,31,3,34
255,1,0,95,5,100
302,0,0,32,23,55
516,0,0,0,26,26
131,0,0,0,6,6
781,0,0,673,14,687
2205,0,0,67,453,520
1893,0,0,452,19,471
170,0,0,42,1,43
0,0,0,0,0,0
289,0,0,193,2,195
205,0,0,95,0,95
329,0,0,69,1,70
124,0,0,28,0,28
188,0,0,90,1,91
284,0,0,0,0,0
298,0,0,0,80,80
583,0,0,84,4,88
213,1,0,0,24,24
5493,4,0,0,221,221
190,0,0,1,14,15
184,0,0,56,1,57
618,0,0,159,3,162
746,0,0,465,13,478
14,0,0,0,0,0
329,0,0,37,1,38
263,1,0,81,9,90
504,0,0,167,1,168
322,0,0,113,13,126
57,0,0,0,1,1
170,0,0,0,11,11
489,0,0,75,6,81
1,0,0,0,0,0
429,0,0,73,4,77
10503,12,0,2329,128,2457
551,0,0,191,14,205
80,0,0,42,0,42
3,0,0,0,0,0
144,0,0,0,0,0
40,0,0,6,6,12
119,0,0,38,4,42
133,0,0,0,0,0
1209,0,0,0,41,41
758,0,0,17,30,47
145,0,0,0,9,9
95,0,0,30,6,36
42,0,0,0,0,0
794,1,0,200,39,239
99,0,0,0,33,33
2,0,0,0,0,0
101,0,0,0,1,1
179,0,0,0,3,3
513,0,0,133,18,151
121,0,0,28,4,32
143,0,0,42,2,44
155,0,0,0,2,2
247,2,0,47,22,69
490,0,0,0,0,0
125,0,0,0,5,5
94,0,0,0,0,0
1685,0,0,0,284,284
1422,0,0,540,14,554
127,0,0,32,1,33
94,0,0,0,4,4
110,0,0,0,2,2
259,0,0,90,9,99
96,0,0,41,0,41
97,0,0,0,3,3
284,0,0,59,6,65
218,1,0,23,48,71
495,0,0,245,3,248
189,0,0,0,1,1
5272,3,0,1764,205,1969
175,0,0,89,23,112
127,0,0,82,5,87
456,0,0,83,6,89
268,0,0,0,16,16
291,0,0,73,0,73
173,0,0,44,6,50
336,0,0,145,0,145
196,0,0,27,7,34
56,0,0,0,5,5
159,0,0,0,22,22
408,1,0,246,15,261
352,0,0,121,0,121
8046,5,0,1121,131,1252
346,0,0,144,14,158
38,0,0,12,0,12
3,0,0,0,1,1
144,0,0,84,0,84
28,0,0,11,5,16
77,0,0,35,3,38
133,0,0,27,3,30
1168,1,0,0,50,50
711,1,0,86,29,115
136,0,0,26,5,31
59,0,0,29,0,29
42,0,0,6,2,8
555,1,0,0,27,27
66,0,0,0,24,24
2,0,0,0,0,0
100,0,0,0,1,1
176,0,0,43,2,45
362,0,0,22,14,36
89,0,0,13,3,16
99,1,0,0,0,0
153,0,0,32,3,35
178,0,0,72,33,105
490,0,0,260,15,275
120,0,0,0,9,9
94,0,0,0,0,0
1401,0,0,72,251,323
868,0,0,306,7,313
94,0,0,19,2,21
90,0,0,43,2,45
108,0,0,48,4,52
160,0,0,51,8,59
55,0,0,15,0,15
94,0,0,0,1,1
219,0,0,118,1,119
147,0,0,0,0,0
247,0,0,47,0,47
188,0,0,0,9,9
3303,0,0,0,103,103
63,0,0,0,0,0
40,0,0,0,1,1
367,0,0,0,0,0
252,0,0,65,6,71
218,0,0,56,6,62
123,0,0,35,1,36
191,0,0,109,0,109
162,0,0,14,6,20
51,0,0,0,12,12
137,0,0,0,0,0
147,0,0,0,0,0
231,0,0,85,2,87
6794,4,0,1651,100,1751
188,0,0,0,0,0
26,0,0,9,0,9
2,0,0,0,1,1
60,0,0,13,1,14
12,0,0,1,1,2
39,0,0,6,3,9
103,0,0,12,0,12
1118,0,0,0,0,0
596,0,0,226,27,253
105,0,0,10,0,10
30,0,0,0,0,0
34,0,0,7,0,7
528,0,0,177,18,195
42,1,0,0,11,11
2,0,0,0,0,0
99,0,0,16,2,18
131,0,0,38,0,38
326,0,0,28,7,35
73,0,0,9,0,9
99,0,0,52,2,54
118,0,0,51,3,54
73,0,0,0,22,22
215,0,0,92,28,120
111,0,0,0,5,5
94,0,0,26,2,28
1078,0,0,42,243,285
555,0,0,234,5,239
73,0,0,7,1,8
45,0,0,0,3,3
56,0,0,21,0,21
101,0,0,26,3,29
40,0,0,27,0,27
93,0,0,0,3,3
100,0,0,0,0,0
147,0,0,23,20,43
200,0,0,35,5,40
179,0,0,0,4,4
3200,0,0,2687,205,2892
63,0,0,20,8,28
39,0,0,0,0,0
367,0,0,51,11,62
181,0,0,24,19,43
156,0,0,48,9,57
87,0,0,27,2,29
82,0,0,46,1,47
142,0,0,37,8,45
39,0,0,0,16,16
137,0,0,0,2,2
147,0,0,0,13,13
144,0,0,45,0,45
5043,3,0,1313,150,1463
188,0,0,85,11,96
17,0,0,10,0,10
1,0,0,0,0,0
46,0,0,0,0,0
10,0,0,0,0,0
30,0,0,12,6,18
91,0,0,23,0,23
1118,4,0,0,45,45
343,0,0,47,17,64
95,0,0,18,3,21
30,0,0,0,5,5
27,0,0,6,3,9
333,0,0,0,4,4
31,0,0,0,9,9
2,0,0,0,0,0
81,0,0,21,1,22
93,0,0,26,0,26
291,0,0,22,6,28
64,0,0,19,2,21
45,0,0,0,3,3
64,0,0,10,0,10
51,0,0,0,8,8
95,0,0,0,3,3
106,0,0,0,3,3
66,0,0,23,1,24
793,0,0,34,205,239
316,0,0,90,4,94
65,0,0,64,0,64
42,0,0,21,1,22
35,0,0,13,1,14
72,0,0,60,5,65
13,0,0,5,1,6
90,0,0,33,5,38
100,0,0,56,2,58
104,0,0,17,6,23
160,0,0,68,2,70
175,0,0,0,2,2
308,0,0,0,0,0
35,0,0,9,1,10
39,0,0,21,1,22
305,0,0,0,0,0
138,0,0,28,6,34
99,0,0,0,0,0
58,0,0,16,1,17
35,0,0,14,3,17
97,0,0,29,11,40
23,0,0,0,2,2
135,0,0,131,2,133
134,0,0,57,8,65
99,0,0,35,1,36
3580,4,0,862,69,931
92,0,0,41,5,46
7,0,0,4,0,4
1,0,0,0,1,1
46,0,0,23,0,23
10,0,0,10,0,10
12,0,0,0,0,0
68,0,0,8,3,11
1073,0,0,226,24,250
279,0,0,109,16,125
74,0,0,17,1,18
25,0,0,3,0,3
18,0,0,0,1,1
329,2,0,79,9,88
22,0,0,0,5,5
2,0,0,0,0,0
59,0,0,14,5,19
67,0,0,26,0,26
263,0,0,0,0,0
43,0,0,3,4,7
42,0,0,24,0,24
54,0,0,18,2,20
43,0,0,26,5,31
92,0,0,0,0,0
103,0,0,5,3,8
42,0,0,22,0,22
554,0,0,18,139,157
222,0,0,85,2,87
1,0,0,0,0,0
20,0,0,20,0,20
21,0,0,6,0,6
7,0,0,0,0,0
7,0,0,1,0,1
52,0,0,0,2,2
42,0,0,0,0,0
81,1,0,13,9,22
90,0,0,18,3,21
173,0,0,154,4,158
308,0,0,0,43,43
25,0,0,7,1,8
17,0,0,0,0,0
305,0,0,73,4,77
104,0,0,88,4,92
99,0,0,36,2,38
41,0,0,8,2,10
18,0,0,2,5,7
57,0,0,50,0,50
21,0,0,0,8,8
2,0,0,0,0,0
69,0,0,7,1,8
63,0,0,22,0,22
2649,3,0,1065,84,1149
46,0,0,7,1,8
3,0,0,1,0,1
0,0,0,0,0,0
23,0,0,0,0,0
0,0,0,0,0,0
12,0,0,0,0,0
57,0,0,7,1,8
823,0,0,0,19,19
154,0,0,9,3,12
56,0,0,8,1,9
22,0,0,3,4,7
17,0,0,2,0,2
241,0,0,82,1,83
17,0,0,0,5,5
2,0,0,0,0,0
40,0,0,6,5,11
41,0,0,0,0,0
263,0,0,53,12,65
36,0,0,30,4,34
18,0,0,6,0,6
34,0,0,11,2,13
12,0,0,6,0,6
92,0,0,0,51,51
95,0,0,16,1,17
20,0,0,19,0,19
397,0,0,3,104,107
135,0,0,52,1,53
1,0,0,0,0,0
0,0,0,0,0,0
15,0,0,4,0,4
7,0,0,0,5,5
6,0,0,6,0,6
50,0,0,11,0,11
42,0,0,0,0,0
59,0,0,9,4,13
69,0,0,12,0,12
15,0,0,0,0,0
265,0,0,0,31,31
17,0,0,3,0,3
17,0,0,7,1,8
228,0,0,48,1,49
12,0,0,0,2,2
61,0,0,28,0,28
31,0,0,0,0,0
11,0,0,6,0,6
7,0,0,0,4,4
13,0,0,0,1,1
2,0,0,0,1,1
61,0,0,15,5,20
41,0,0,6,0,6
1500,2,0,0,47,47
38,0,0,0,1,1
2,0,0,0,0,0
0,0,0,0,0,0
23,0,0,9,0,9
0,0,0,0,0,0
12,0,0,6,0,6
49,0,0,0,0,0
804,0,0,228,26,254
142,0,0,29,1,30
47,0,0,17,0,17
15,0,0,4,0,4
15,0,0,5,0,5
158,0,0,22,1,23
12,0,0,0,5,5
2,0,0,0,1,1
29,0,0,11,3,14
41,0,0,14,0,14
198,0,0,0,1,1
2,0,0,0,0,0
12,0,0,0,0,0
21,0,0,4,3,7
6,0,0,0,1,1
41,0,0,0,28,28
78,0,0,21,2,23
1,0,0,0,0,0
290,0,0,10,86,96
82,0,0,32,1,33
